Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment
CUST-1076,1633,2,8603.0,1,1,3,113,5,Lost
CUST-1077,1012,3,2488.24,2,3,1,231,6,At Risk
CUST-1078,1094,1,15188.34,2,1,4,214,7,Lost
CUST-1079,337,3,11237.689999999999,4,3,3,433,10,Loyal Customers
CUST-1080,153,5,49579.81,5,5,5,555,15,Champions
CUST-1081,349,3,2730.4700000000003,4,3,2,432,9,Potential Loyalists
CUST-1082,2325,2,2099.8599999999997,1,1,1,111,3,Lost
CUST-1083,451,1,275.52,4,1,1,411,6,New Customers
CUST-1084,194,3,58702.72,5,3,5,535,13,Loyal Customers
CUST-1085,570,2,2301.51,3,1,1,311,5,Potential Loyalists
CUST-1086,1027,5,21741.8,2,5,4,254,11,At Risk
CUST-1087,715,2,1550.5700000000002,3,1,1,311,5,Potential Loyalists
CUST-1088,781,2,9366.41,3,1,3,313,7,Potential Loyalists
CUST-1089,2090,2,3558.1099999999997,1,1,2,112,4,Lost
CUST-1091,1276,4,22188.67,2,4,4,244,10,At Risk
CUST-1092,538,2,31685.639999999996,3,1,5,315,9,Potential Loyalists
CUST-1093,627,3,3188.87,3,3,2,332,8,Potential Loyalists
CUST-1094,836,2,19775.62,2,1,4,214,7,Lost
CUST-1095,1198,4,1903.15,2,4,1,241,7,At Risk
CUST-1097,526,1,79.04,3,1,1,311,5,Potential Loyalists
CUST-1098,722,1,42786.8,3,1,5,315,9,Potential Loyalists
CUST-1099,2198,2,35544.579999999994,1,1,5,115,7,Lost
CUST-1100,1406,1,3937.41,1,1,2,112,4,Lost
CUST-1101,1403,2,45829.16,1,1,5,115,7,Lost
CUST-1102,947,3,22019.25,2,3,4,234,9,At Risk
CUST-1103,1685,3,8118.02,1,3,3,133,7,At Risk
CUST-1104,15,1,194.04,5,1,1,511,7,New Customers
CUST-1105,313,3,27114.54,4,3,4,434,11,Loyal Customers
CUST-1106,114,1,330.20000000000005,5,1,1,511,7,New Customers
CUST-1107,725,1,2202.08,3,1,1,311,5,Potential Loyalists
CUST-1108,508,3,5185.66,3,3,2,332,8,Potential Loyalists
CUST-1109,1796,3,5939.040000000001,1,3,2,132,6,At Risk
CUST-1110,42,2,11550.52,5,1,3,513,9,New Customers
CUST-1112,672,2,33295.630000000005,3,1,5,315,9,Potential Loyalists
CUST-1113,240,5,27631.27,4,5,5,455,14,Champions
CUST-1114,91,2,469.13000000000005,5,1,1,511,7,New Customers
CUST-1115,166,2,1569.47,5,1,1,511,7,New Customers
CUST-1116,2284,2,567.48,1,1,1,111,3,Lost
CUST-1117,2501,1,1643.46,1,1,1,111,3,Lost
CUST-1118,135,3,6476.539999999999,5,3,3,533,11,Loyal Customers
CUST-1119,161,3,26532.78,5,3,4,534,12,Loyal Customers
CUST-1120,832,4,8353.939999999999,2,4,3,243,9,At Risk
CUST-1121,603,2,2255.49,3,1,1,311,5,Potential Loyalists
CUST-1122,1415,4,33428.509999999995,1,4,5,145,10,At Risk
CUST-1123,1294,4,4367.4400000000005,2,4,2,242,8,At Risk
CUST-1124,289,6,56944.649999999994,4,5,5,455,14,Champions
CUST-1125,1564,2,19662.32,1,1,4,114,6,Lost
CUST-1126,1951,2,24924.18,1,1,4,114,6,Lost
CUST-1127,1501,2,7257.5199999999995,1,1,3,113,5,Lost
CUST-1128,2062,2,3058.62,1,1,2,112,4,Lost
CUST-1129,514,4,2307.87,3,4,1,341,8,Potential Loyalists
CUST-1130,531,5,7969.0,3,5,3,353,11,Loyal Customers
CUST-1131,79,6,16663.800000000003,5,5,4,554,14,Champions
CUST-1132,1555,1,3405.12,1,1,2,112,4,Lost
CUST-1133,142,4,4828.88,5,4,2,542,11,Potential Loyalists
CUST-1134,1939,1,2100.48,1,1,1,111,3,Lost
CUST-1135,928,3,25564.399999999994,2,3,4,234,9,At Risk
CUST-1136,2346,1,2460.81,1,1,1,111,3,Lost
CUST-1137,1099,1,6838.0,2,1,3,213,6,Lost
CUST-1138,733,3,10156.669999999998,3,3,3,333,9,Loyal Customers
CUST-1139,2240,1,283.34000000000003,1,1,1,111,3,Lost
CUST-1140,601,1,249.5,3,1,1,311,5,Potential Loyalists
CUST-1141,1183,2,4428.030000000001,2,1,2,212,5,Lost
CUST-1142,1164,1,1012.76,2,1,1,211,4,Lost
CUST-1143,110,3,22862.26,5,3,4,534,12,Loyal Customers
CUST-1144,746,5,5148.13,3,5,2,352,10,Potential Loyalists
CUST-1145,1836,3,4097.02,1,3,2,132,6,At Risk
CUST-1146,1064,1,461.5,2,1,1,211,4,Lost
CUST-1147,1606,2,5149.46,1,1,2,112,4,Lost
CUST-1148,1230,2,366.54999999999995,2,1,1,211,4,Lost
CUST-1149,196,4,35041.57,5,4,5,545,14,Champions
CUST-1150,298,5,63887.94,4,5,5,455,14,Champions
CUST-1152,177,5,33628.44,5,5,5,555,15,Champions
CUST-1153,225,5,19004.41,4,5,4,454,13,Champions
CUST-1154,1941,2,17166.44,1,1,4,114,6,Lost
CUST-1155,178,3,5493.58,5,3,2,532,10,Potential Loyalists
CUST-1156,700,2,3430.34,3,1,2,312,6,Potential Loyalists
CUST-1157,1537,2,4364.98,1,1,2,112,4,Lost
CUST-1158,999,4,24812.41,2,4,4,244,10,At Risk
CUST-1159,47,3,23986.18,5,3,4,534,12,Loyal Customers
CUST-1161,679,3,281.05999999999995,3,3,1,331,7,Potential Loyalists
CUST-1162,2413,1,7657.349999999999,1,1,3,113,5,Lost
CUST-1163,1717,3,35627.61,1,3,5,135,9,At Risk
CUST-1164,73,4,14429.38,5,4,4,544,13,Champions
CUST-1165,2505,1,3235.0,1,1,2,112,4,Lost
CUST-1166,212,3,23779.98,4,3,4,434,11,Loyal Customers
CUST-1167,163,3,33939.01,5,3,5,535,13,Loyal Customers
CUST-1168,248,2,2083.75,4,1,1,411,6,New Customers
CUST-1169,2277,2,619.86,1,1,1,111,3,Lost
CUST-1170,1996,1,12564.12,1,1,3,113,5,Lost
CUST-1171,331,3,3716.59,4,3,2,432,9,Potential Loyalists
CUST-1172,796,2,2482.83,3,1,1,311,5,Potential Loyalists
CUST-1173,1285,2,6586.23,2,1,3,213,6,Lost
CUST-1174,2235,1,6499.0199999999995,1,1,3,113,5,Lost
CUST-1175,37,2,1470.26,5,1,1,511,7,New Customers
CUST-1176,1058,2,531.4499999999999,2,1,1,211,4,Lost
CUST-1177,808,2,913.4399999999999,2,1,1,211,4,Lost
CUST-1178,745,5,29237.05,3,5,5,355,13,Loyal Customers
CUST-1179,598,2,7379.040000000001,3,1,3,313,7,Potential Loyalists
CUST-1180,1710,3,2814.7,1,3,2,132,6,At Risk
CUST-1181,1616,3,29030.68,1,3,5,135,9,At Risk
CUST-1182,570,4,5782.999999999999,3,4,2,342,9,Potential Loyalists
CUST-1183,187,3,7363.969999999999,5,3,3,533,11,Loyal Customers
CUST-1184,1293,3,15539.52,2,3,4,234,9,At Risk
CUST-1185,104,4,12174.62,5,4,3,543,12,Loyal Customers
CUST-1186,2434,1,9549.33,1,1,3,113,5,Lost
CUST-1187,1042,4,7268.32,2,4,3,243,9,At Risk
CUST-1188,1205,2,688.38,2,1,1,211,4,Lost
CUST-1189,420,1,2582.2999999999997,4,1,2,412,7,New Customers
CUST-1190,68,6,11552.42,5,5,3,553,13,Loyal Customers
CUST-1191,1970,2,2901.26,1,1,2,112,4,Lost
CUST-1192,167,3,9342.41,5,3,3,533,11,Loyal Customers
CUST-1193,626,3,4232.35,3,3,2,332,8,Potential Loyalists
CUST-1194,124,4,29418.300000000003,5,4,5,545,14,Champions
CUST-1195,1115,2,30933.16,2,1,5,215,8,Lost
CUST-1196,1078,2,6268.32,2,1,3,213,6,Lost
CUST-1197,2224,2,1766.9800000000002,1,1,1,111,3,Lost
CUST-1198,986,3,2764.02,2,3,2,232,7,At Risk
CUST-1199,35,4,60417.020000000004,5,4,5,545,14,Champions
CUST-1201,1049,2,2631.16,2,1,2,212,5,Lost
CUST-1202,1194,1,221.05,2,1,1,211,4,Lost
CUST-1203,229,3,637.0699999999999,4,3,1,431,8,Potential Loyalists
CUST-1205,3,2,1724.8,5,1,1,511,7,New Customers
CUST-1206,570,2,1026.33,3,1,1,311,5,Potential Loyalists
CUST-1207,399,4,8313.039999999999,4,4,3,443,11,Loyal Customers
CUST-1208,393,6,56659.97,4,5,5,455,14,Champions
CUST-1209,964,2,906.0699999999999,2,1,1,211,4,Lost
CUST-1210,801,1,592.88,3,1,1,311,5,Potential Loyalists
CUST-1211,1489,5,20718.42,1,5,4,154,10,At Risk
CUST-1212,989,4,34891.74,2,4,5,245,11,At Risk
CUST-1213,214,1,11806.05,4,1,3,413,8,New Customers
CUST-1214,27,4,25966.05,5,4,4,544,13,Champions
CUST-1215,704,4,25249.710000000003,3,4,4,344,11,Loyal Customers
CUST-1216,206,8,28418.84,4,5,5,455,14,Champions
CUST-1218,724,4,33560.509999999995,3,4,5,345,12,Loyal Customers
CUST-1219,1265,2,635.0699999999999,2,1,1,211,4,Lost
CUST-1220,70,8,53359.17,5,5,5,555,15,Champions
CUST-1221,1523,1,12159.900000000001,1,1,3,113,5,Lost
CUST-1222,1639,3,15114.16,1,3,4,134,8,At Risk
CUST-1223,190,1,145.14000000000001,5,1,1,511,7,New Customers
CUST-1224,30,6,67000.84,5,5,5,555,15,Champions
CUST-1225,494,2,3525.07,3,1,2,312,6,Potential Loyalists
CUST-1226,653,3,4750.07,3,3,2,332,8,Potential Loyalists
CUST-1227,3,4,18964.37,5,4,4,544,13,Champions
CUST-1229,278,4,25476.97,4,4,4,444,12,Champions
CUST-1230,112,4,41209.31,5,4,5,545,14,Champions
CUST-1231,1561,2,1895.99,1,1,1,111,3,Lost
CUST-1232,1351,3,17581.510000000002,1,3,4,134,8,At Risk
CUST-1234,1024,2,14939.65,2,1,4,214,7,Lost
CUST-1235,877,4,12891.99,2,4,3,243,9,At Risk
CUST-1236,109,2,24809.48,5,1,4,514,10,New Customers
CUST-1237,1284,4,29044.739999999998,2,4,5,245,11,At Risk
CUST-1238,290,4,42328.86,4,4,5,445,13,Champions
CUST-1239,1197,4,29431.549999999996,2,4,5,245,11,At Risk
CUST-1240,1271,1,407.95000000000005,2,1,1,211,4,Lost
CUST-1241,228,2,28820.86,4,1,5,415,10,New Customers
CUST-1242,1583,1,30522.9,1,1,5,115,7,Lost
CUST-1243,860,1,680.1299999999999,2,1,1,211,4,Lost
CUST-1244,454,5,73737.38,4,5,5,455,14,Champions
CUST-1245,368,2,4118.16,4,1,2,412,7,New Customers
CUST-1246,1021,3,4446.0599999999995,2,3,2,232,7,At Risk
CUST-1247,942,1,273.52,2,1,1,211,4,Lost
CUST-1248,2006,1,274.9,1,1,1,111,3,Lost
CUST-1249,14,4,4608.7,5,4,2,542,11,Potential Loyalists
CUST-1250,71,7,15639.19,5,5,4,554,14,Champions
CUST-1251,2044,2,30546.25,1,1,5,115,7,Lost
CUST-1252,347,4,17874.050000000003,4,4,4,444,12,Champions
CUST-1253,129,8,45816.159999999996,5,5,5,555,15,Champions
CUST-1254,913,7,40203.47,2,5,5,255,12,At Risk
CUST-1255,257,2,2129.42,4,1,1,411,6,New Customers
CUST-1256,256,3,780.29,4,3,1,431,8,Potential Loyalists
CUST-1257,169,6,6415.42,5,5,3,553,13,Loyal Customers
CUST-1258,407,4,24204.46,4,4,4,444,12,Champions
CUST-1259,6,4,47062.2,5,4,5,545,14,Champions
CUST-1260,262,3,2857.4199999999996,4,3,2,432,9,Potential Loyalists
CUST-1262,692,3,41078.53,3,3,5,335,11,Loyal Customers
CUST-1263,1777,2,42086.409999999996,1,1,5,115,7,Lost
CUST-1265,49,4,17999.0,5,4,4,544,13,Champions
CUST-1266,959,3,25978.96,2,3,4,234,9,At Risk
CUST-1267,26,4,19622.39,5,4,4,544,13,Champions
CUST-1268,1187,5,26928.0,2,5,4,254,11,At Risk
CUST-1269,1254,5,57372.95999999999,2,5,5,255,12,At Risk
CUST-1270,144,7,11928.49,5,5,3,553,13,Loyal Customers
CUST-1271,651,3,3820.7799999999997,3,3,2,332,8,Potential Loyalists
CUST-1272,53,5,7468.89,5,5,3,553,13,Loyal Customers
CUST-1273,1104,2,709.49,2,1,1,211,4,Lost
CUST-1274,251,2,4266.0599999999995,4,1,2,412,7,New Customers
CUST-1275,124,5,42697.590000000004,5,5,5,555,15,Champions
CUST-1276,197,3,2481.04,5,3,1,531,9,Potential Loyalists
CUST-1277,514,1,6763.900000000001,3,1,3,313,7,Potential Loyalists
CUST-1278,429,3,8030.39,4,3,3,433,10,Loyal Customers
CUST-1279,400,5,19954.91,4,5,4,454,13,Champions
CUST-1280,488,2,1954.35,3,1,1,311,5,Potential Loyalists
CUST-1282,1118,3,9203.92,2,3,3,233,8,At Risk
CUST-1283,382,4,10736.14,4,4,3,443,11,Loyal Customers
CUST-1284,2331,1,9423.119999999999,1,1,3,113,5,Lost
CUST-1285,2562,1,25.65,1,1,1,111,3,Lost
CUST-1286,1278,1,218.91,2,1,1,211,4,Lost
CUST-1287,505,6,52345.99,3,5,5,355,13,Loyal Customers
CUST-1288,657,3,35019.95,3,3,5,335,11,Loyal Customers
CUST-1289,419,2,1698.7600000000002,4,1,1,411,6,New Customers
CUST-1290,2461,2,18195.56,1,1,4,114,6,Lost
CUST-1292,599,3,1451.3600000000001,3,3,1,331,7,Potential Loyalists
CUST-1293,1578,2,17798.41,1,1,4,114,6,Lost
CUST-1294,874,6,43601.86,2,5,5,255,12,At Risk
CUST-1295,1154,4,15577.73,2,4,4,244,10,At Risk
CUST-1296,109,3,2435.69,5,3,1,531,9,Potential Loyalists
CUST-1297,1176,2,25072.32,2,1,4,214,7,Lost
CUST-1298,916,3,15082.18,2,3,4,234,9,At Risk
CUST-1299,19,5,15452.42,5,5,4,554,14,Champions
CUST-1300,840,4,37398.85,2,4,5,245,11,At Risk
CUST-1301,50,2,8892.06,5,1,3,513,9,New Customers
CUST-1302,539,2,35852.54,3,1,5,315,9,Potential Loyalists
CUST-1303,727,4,3054.2200000000003,3,4,2,342,9,Potential Loyalists
CUST-1304,1312,1,1315.6,2,1,1,211,4,Lost
CUST-1305,2595,1,2600.4,1,1,2,112,4,Lost
CUST-1306,410,4,15289.88,4,4,4,444,12,Champions
CUST-1308,2579,1,2886.84,1,1,2,112,4,Lost
CUST-1309,1519,6,61207.56,1,5,5,155,11,At Risk
CUST-1311,177,3,10119.89,5,3,3,533,11,Loyal Customers
CUST-1312,247,3,3696.53,4,3,2,432,9,Potential Loyalists
CUST-1314,278,4,2939.39,4,4,2,442,10,Potential Loyalists
CUST-1315,1291,1,1215.52,2,1,1,211,4,Lost
CUST-1316,325,6,21570.54,4,5,4,454,13,Champions
CUST-1317,214,1,32917.68,4,1,5,415,10,New Customers
CUST-1318,43,6,16332.329999999998,5,5,4,554,14,Champions
CUST-1319,318,9,58228.310000000005,4,5,5,455,14,Champions
CUST-1320,280,4,6977.57,4,4,3,443,11,Loyal Customers
CUST-1321,1762,1,3100.2999999999997,1,1,2,112,4,Lost
CUST-1322,363,5,39884.090000000004,4,5,5,455,14,Champions
CUST-1323,2148,3,7334.38,1,3,3,133,7,At Risk
CUST-1324,767,4,5649.63,3,4,2,342,9,Potential Loyalists
CUST-1325,307,2,334.13,4,1,1,411,6,New Customers
CUST-1326,567,1,483.3,3,1,1,311,5,Potential Loyalists
CUST-1328,14,5,32718.97,5,5,5,555,15,Champions
CUST-1329,1168,1,835.92,2,1,1,211,4,Lost
CUST-1330,494,5,41011.74,3,5,5,355,13,Loyal Customers
CUST-1331,1270,1,63.980000000000004,2,1,1,211,4,Lost
CUST-1332,2519,1,14906.6,1,1,4,114,6,Lost
CUST-1333,91,3,12167.550000000001,5,3,3,533,11,Loyal Customers
CUST-1335,459,3,9367.72,4,3,3,433,10,Loyal Customers
CUST-1336,1478,1,1401.4,1,1,1,111,3,Lost
CUST-1337,262,4,13457.310000000001,4,4,4,444,12,Champions
CUST-1338,695,2,670.95,3,1,1,311,5,Potential Loyalists
CUST-1339,468,5,22466.28,3,5,4,354,12,Loyal Customers
CUST-1340,871,3,26203.9,2,3,4,234,9,At Risk
CUST-1341,1992,4,25178.369999999995,1,4,4,144,9,At Risk
CUST-1342,768,1,3938.3999999999996,3,1,2,312,6,Potential Loyalists
CUST-1343,711,6,23385.52,3,5,4,354,12,Loyal Customers
CUST-1344,648,5,3480.2400000000002,3,5,2,352,10,Potential Loyalists
CUST-1345,736,5,21318.98,3,5,4,354,12,Loyal Customers
CUST-1346,1177,1,1724.0,2,1,1,211,4,Lost
CUST-1347,96,5,13124.04,5,5,3,553,13,Loyal Customers
CUST-1348,542,3,14890.0,3,3,4,334,10,Loyal Customers
CUST-1349,1496,1,2439.36,1,1,1,111,3,Lost
CUST-1350,193,4,39399.99,5,4,5,545,14,Champions
CUST-1351,1847,2,1193.6299999999999,1,1,1,111,3,Lost
CUST-1352,86,2,13113.82,5,1,3,513,9,New Customers
CUST-1353,975,4,28722.36,2,4,5,245,11,At Risk
CUST-1355,1713,1,383.68,1,1,1,111,3,Lost
CUST-1356,1536,2,28706.25,1,1,5,115,7,Lost
CUST-1357,768,5,7107.16,3,5,3,353,11,Loyal Customers
CUST-1358,1369,1,17063.24,1,1,4,114,6,Lost
CUST-1359,248,7,15100.45,4,5,4,454,13,Champions
CUST-1360,245,6,9191.08,4,5,3,453,12,Loyal Customers
CUST-1361,105,5,10764.05,5,5,3,553,13,Loyal Customers
CUST-1362,74,4,42584.31,5,4,5,545,14,Champions
CUST-1363,1605,1,18754.4,1,1,4,114,6,Lost
CUST-1364,478,6,85306.54999999999,3,5,5,355,13,Loyal Customers
CUST-1365,633,1,32695.04,3,1,5,315,9,Potential Loyalists
CUST-1366,21,3,10266.48,5,3,3,533,11,Loyal Customers
CUST-1367,460,1,373.09999999999997,4,1,1,411,6,New Customers
CUST-1368,1084,4,26279.359999999997,2,4,4,244,10,At Risk
CUST-1369,230,5,62562.02,4,5,5,455,14,Champions
CUST-1370,1583,2,2774.26,1,1,2,112,4,Lost
CUST-1372,985,1,101.52000000000001,2,1,1,211,4,Lost
CUST-1373,2014,1,7698.65,1,1,3,113,5,Lost
CUST-1374,686,2,4315.74,3,1,2,312,6,Potential Loyalists
CUST-1375,1711,2,1090.04,1,1,1,111,3,Lost
CUST-1376,523,2,7722.530000000001,3,1,3,313,7,Potential Loyalists
CUST-1377,717,2,2355.33,3,1,1,311,5,Potential Loyalists
CUST-1378,1295,3,13175.83,2,3,3,233,8,At Risk
CUST-1379,1212,3,6438.389999999999,2,3,3,233,8,At Risk
CUST-1380,1322,3,15735.51,2,3,4,234,9,At Risk
CUST-1381,825,8,43494.520000000004,2,5,5,255,12,At Risk
CUST-1382,443,2,2623.67,4,1,2,412,7,New Customers
CUST-1383,109,4,40172.94,5,4,5,545,14,Champions
CUST-1384,1518,1,3885.16,1,1,2,112,4,Lost
CUST-1385,128,2,3069.89,5,1,2,512,8,New Customers
CUST-1386,730,4,2710.18,3,4,2,342,9,Potential Loyalists
CUST-1387,1530,2,3290.37,1,1,2,112,4,Lost
CUST-1388,1667,3,1814.13,1,3,1,131,5,At Risk
CUST-1389,1603,1,1225.53,1,1,1,111,3,Lost
CUST-1390,379,1,5906.72,4,1,2,412,7,New Customers
CUST-1391,294,3,6280.139999999999,4,3,3,433,10,Loyal Customers
CUST-1392,1322,2,4333.04,2,1,2,212,5,Lost
CUST-1393,88,5,23050.84,5,5,4,554,14,Champions
CUST-1394,2233,1,1318.45,1,1,1,111,3,Lost
CUST-1395,430,4,2725.76,4,4,2,442,10,Potential Loyalists
CUST-1397,716,3,11281.4,3,3,3,333,9,Loyal Customers
CUST-1398,1273,2,6790.46,2,1,3,213,6,Lost
CUST-1399,2376,1,26131.14,1,1,4,114,6,Lost
CUST-1400,2214,2,13363.74,1,1,3,113,5,Lost
CUST-1401,2357,2,2165.82,1,1,1,111,3,Lost
CUST-1402,1535,5,10736.55,1,5,3,153,9,At Risk
CUST-1403,273,4,49880.67,4,4,5,445,13,Champions
CUST-1404,1009,2,2238.5599999999995,2,1,1,211,4,Lost
CUST-1405,1087,2,38676.340000000004,2,1,5,215,8,Lost
CUST-1406,441,4,7911.5,4,4,3,443,11,Loyal Customers
CUST-1409,14,1,24525.81,5,1,4,514,10,New Customers
CUST-1411,517,5,35685.810000000005,3,5,5,355,13,Loyal Customers
CUST-1412,74,1,830.16,5,1,1,511,7,New Customers
CUST-1413,246,4,5199.74,4,4,2,442,10,Potential Loyalists
CUST-1414,1024,1,12258.96,2,1,3,213,6,Lost
CUST-1415,1868,2,591.49,1,1,1,111,3,Lost
CUST-1416,18,4,45324.990000000005,5,4,5,545,14,Champions
CUST-1417,116,6,31257.93,5,5,5,555,15,Champions
CUST-1418,1719,2,1364.13,1,1,1,111,3,Lost
CUST-1419,1032,3,29891.789999999994,2,3,5,235,10,At Risk
CUST-1420,1014,1,2142.28,2,1,1,211,4,Lost
CUST-1421,665,4,18421.45,3,4,4,344,11,Loyal Customers
CUST-1422,282,5,10196.18,4,5,3,453,12,Loyal Customers
CUST-1423,1664,1,7722.719999999999,1,1,3,113,5,Lost
CUST-1424,1300,2,18831.42,2,1,4,214,7,Lost
CUST-1425,1854,3,29744.73,1,3,5,135,9,At Risk
CUST-1426,1539,3,30359.760000000002,1,3,5,135,9,At Risk
CUST-1427,548,6,51747.850000000006,3,5,5,355,13,Loyal Customers
CUST-1428,1067,3,46831.68,2,3,5,235,10,At Risk
CUST-1429,398,5,26327.85,4,5,4,454,13,Champions
CUST-1431,146,6,21282.35,5,5,4,554,14,Champions
CUST-1432,907,3,48942.03999999999,2,3,5,235,10,At Risk
CUST-1433,955,4,9387.23,2,4,3,243,9,At Risk
CUST-1434,588,2,4729.8,3,1,2,312,6,Potential Loyalists
CUST-1435,202,3,8503.720000000001,5,3,3,533,11,Loyal Customers
CUST-1438,1454,3,4460.83,1,3,2,132,6,At Risk
CUST-1439,898,2,1641.51,2,1,1,211,4,Lost
CUST-1440,1767,1,1090.7,1,1,1,111,3,Lost
CUST-1441,408,2,4000.98,4,1,2,412,7,New Customers
CUST-1442,1839,1,2721.2,1,1,2,112,4,Lost
CUST-1443,572,1,1932.93,3,1,1,311,5,Potential Loyalists
CUST-1444,1516,4,39430.95,1,4,5,145,10,At Risk
CUST-1445,1572,4,7828.04,1,4,3,143,8,At Risk
CUST-1446,1061,3,10989.18,2,3,3,233,8,At Risk
CUST-1447,199,5,20752.02,5,5,4,554,14,Champions
CUST-1448,84,5,27608.87,5,5,5,555,15,Champions
CUST-1449,512,5,70272.59,3,5,5,355,13,Loyal Customers
CUST-1450,144,2,1966.63,5,1,1,511,7,New Customers
CUST-1451,615,2,4871.42,3,1,2,312,6,Potential Loyalists
